COD_SIM,ID_EST,NTS_LEC_10,NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,NTS_MAT_11,RAN_NOT_11,TEXTO 1,TEXTO 2,TEXTO 3,TEXTO 4,NTS_LEC_10,NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,NTS_MAT_11,RAN_NOT_11,NTS_LEC_10,NTS_MAT_10,NTS_LEC_11,NTS_MAT_11,Constante 0-5 para 0-10,Comparador 0-10,NTS_LEC_10,NTS_MAT_10,NTS_LEC_11,NTS_MAT_11,,,NTS_LEC_10,CUAL_NTS_LEC_10,CUAN_CON_PROM_NTS_LEC_10,NTS_MAT_10,CUAL_NTS_MAT_10,CUAN_CON_PROM_NTS_MAT_10,RAN_NOT_10,NTS_LEC_11,CUAL_NTS_LEC_10,CUAN_CON_PROM_NTS_LEC_10,NTS_MAT_11,CUAL_NTS_MAT_11,CUAN_CON_PROM_NTS_MAT_11,RAN_NOT_11,SUPERIOR,ALTO,BASICO,BAJO
523046,1130592871,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,NO TIENE,,,NO TIENE,0,0,0,0,,,NO TIENE,NO TIENE,NO TIENE,NO TIENE,,,,,,,,,,,,,,,,,,,,
9103008,1143923985,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,ACEPTABLE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
817008,1114027607,SOBRESALIENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,EXCELENTE,,,ALTO,ALTO,4.25,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
527003,1114338968,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
624028,1144024528,SOBRESALIENTE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,ACEPTABLE,EXCELENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,ACEPTABLE,EXCELENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
9107010,1144126023,EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",EXCELENTE,SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",0,0,0,0,,,EXCELENTE,SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,,,SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
628006,1130642552,EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813008,1107048681,ACEPTABLE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,EXCELENTE,SOBRESALIENTE,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,ACEPTABLE,EXCELENTE,SOBRESALIENTE,ACEPTABLE,,,BASICO,BASICO,3.5,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813015,1144029826,NO TIENE,NO TIENE,,INSUFICIENTE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",NO TIENE,NO TIENE,INSUFICIENTE,ACEPTABLE,,,,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,NO TIENE,NO TIENE,INSUFICIENTE,ACEPTABLE,,,,,,,,,,BAJO,BAJO,"2,5",BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813003,90061258689,ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,ACEPTABLE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,ACEPTABLE,ACEPTABLE,ACEPTABLE,SOBRESALIENTE,,,BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813019,1130617264,ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",NO TIENE,NO TIENE,,ACEPTABLE,SOBRESALIENTE,NO TIENE,NO TIENE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,,0,0,0,0,,,ACEPTABLE,SOBRESALIENTE,NO TIENE,NO TIENE,,,BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,,,,,,,,
813012,1130610445,6.2,6.0,0-10,6.0,6.5,0-10,06/02/2018,6.0,6.0,06/05/2018,6.2,6.1,0-10,6.1,6.5,0-10,"3,1",#¡VALOR!,#¡VALOR!,#¡VALOR!,,,"3,1","3,05","3,05","3,25",,,"3,10",BASICO,"3,10","3,05",BASICO,"3,05",0-5,"3,05",BASICO,"3,05","3,25",BASICO,"3,25",0-5,,,,
8203025,1143828525,SOBRESALIENTE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,ACEPTABLE,SOBRESALIENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
624097,1107053334,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
713017,1113518413,SOBRESALIENTE,SOBRESALIENTE,"DEFICIENTE, INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"DEFICIENTE, INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,"DEFICIENTE, INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"DEFICIENTE, INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
724013,1118256672,6.5,6.0,0-10,6.3,6.0,0-10,06/05/2018,6.0,06/03/2018,6.0,6.5,6.1,0-10,6.3,6.1,0-10,#¡VALOR!,#¡VALOR!,#¡VALOR!,#¡VALOR!,,,"3,25","3,05","3,15","3,05",,,"3,25",BASICO,"3,25","3,05",BASICO,"3,05",0-5,"3,15",BASICO,"3,15","3,05",BASICO,"3,05",0-5,,,,
9207003,10499685,BUENO,BUENO,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",BUENO,BUENO,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",BUENO,BUENO,BUENO,BUENO,,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",,,"INSUFICIENTE, ACEPTABLE, EXCELENTE, SOBRESALIENTE",0,0,0,0,,,BUENO,BUENO,BUENO,BUENO,,,BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
817004,1144033072,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",NO TIENE,NO TIENE,,SOBRESALIENTE,SOBRESALIENTE,NO TIENE,NO TIENE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,,0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,NO TIENE,NO TIENE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,,,,,,,,
723003,1144024910,NO TIENE,NO TIENE,,EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",NO TIENE,NO TIENE,EXCELENTE,EXCELENTE,,,,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,NO TIENE,NO TIENE,EXCELENTE,EXCELENTE,,,,,,,,,,SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
717002,1144035171,ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,ACEPTABLE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,ACEPTABLE,ACEPTABLE,ACEPTABLE,SOBRESALIENTE,,,BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
8207031,1107065708,EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,EXCELENTE,EXCELENTE,EXCELENTE,EXCELENTE,,,SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813014,1143829253,ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,SOBRESALIENTE,ACEPTABLE,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,ACEPTABLE,SOBRESALIENTE,ACEPTABLE,ACEPTABLE,,,BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813002,1144158082,ACEPTABLE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",NO TIENE,NO TIENE,,ACEPTABLE,SOBRESALIENTE,NO TIENE,NO TIENE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,,0,0,0,0,,,ACEPTABLE,SOBRESALIENTE,NO TIENE,NO TIENE,,,BASICO,BASICO,3.5,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,,,,,,,,
813009,1144046959,EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",EXCELENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,EXCELENTE,SOBRESALIENTE,EXCELENTE,SOBRESALIENTE,,,SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",SUPERIOR,SUPERIOR,4.75,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813017,90091960566,SOBRESALIENTE,EXCELENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,EXCELENTE,ACEPTABLE,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,EXCELENTE,ACEPTABLE,ACEPTABLE,,,ALTO,ALTO,4.25,SUPERIOR,SUPERIOR,4.75,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
813010,1144146595,ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",ACEPTABLE,ACEPTABLE,ACEPTABLE,ACEPTABLE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,ACEPTABLE,ACEPTABLE,ACEPTABLE,ACEPTABLE,,,BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",BASICO,BASICO,3.5,BASICO,BASICO,3.5,"BAJO, BASICO, ALTO, SUPERIOR",,,,
727014,1116247115,SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",,,"INSUFICIENTE, ACEPTABLE, SOBRESALIENTE, EXCELENTE",0,0,0,0,,,SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,SOBRESALIENTE,,,ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",ALTO,ALTO,4.25,ALTO,ALTO,4.25,"BAJO, BASICO, ALTO, SUPERIOR",,,,
